iter	RMSE
0	9.35542772
1	9.159945322
2	8.976331665
3	8.82423841
4	8.683052685
5	8.531414646
6	8.415631745
7	8.285665916
8	8.164342696
9	8.057247327
10	7.963145019
11	7.870554178
12	7.779755888
13	7.694732389
14	7.630631822
15	7.556115458
16	7.487267742
17	7.42552638
18	7.364092721
19	7.30992126
20	7.273895172
21	7.233846309
22	7.183807693
23	7.145016687
24	7.103026013
25	7.066716365
26	7.036058409
27	7.00499422
28	6.975174822
29	6.945999215
30	6.920836707
31	6.896906922
32	6.871090411
33	6.853540361
34	6.833658262
35	6.814569282
36	6.802225531
37	6.787653548
38	6.769005517
39	6.754090144
40	6.73756163
41	6.721091668
42	6.711584103
43	6.697809139
44	6.688266728
45	6.676252868
46	6.66501385
47	6.652282731
48	6.646142041
49	6.633874312
50	6.623277384
51	6.613104577
52	6.602203233
53	6.593102168
54	6.587344365
55	6.579538089
56	6.569869311
57	6.56199876
58	6.554569376
59	6.550748799
60	6.543480533
61	6.539501055
62	6.532760459
63	6.527757816
64	6.521790956
65	6.517359564
66	6.511654239
67	6.506790257
68	6.502956722
69	6.499283204
70	6.495446441
71	6.488298091
72	6.482951844
73	6.478189884
74	6.473585999
75	6.468542767
76	6.462658844
77	6.460131497
78	6.457221267
79	6.453032589
80	6.4509898
81	6.447294779
82	6.443805174
83	6.438329041
84	6.434812693
85	6.431581591
86	6.428871113
87	6.425644959
88	6.421098158
89	6.416618518
90	6.412578329
91	6.411045517
92	6.407199418
93	6.404195865
94	6.401398489
95	6.398643106
96	6.396061607
97	6.393414941
98	6.390843452
99	6.387022607
100	6.384070006
101	6.382020758
102	6.380651437
103	6.377394712
104	6.374025066
105	6.371739394
106	6.370292692
107	6.366572479
108	6.362812696
109	6.360041164
110	6.356360871
111	6.35418126
112	6.351540343
113	6.349034275
114	6.346775533
115	6.343452701
116	6.341019757
117	6.339313621
118	6.33730944
119	6.335746087
120	6.332112657
121	6.328514357
122	6.325906875
123	6.32138638
124	6.319786425
125	6.317908659
126	6.315565217
127	6.312959887
128	6.310371811
129	6.305954953
130	6.303604119
131	6.301976449
132	6.29942211
133	6.295604383
134	6.293736561
135	6.290977804
136	6.288704034
137	6.287501189
138	6.286551903
139	6.28411245
140	6.283054041
141	6.279822025
142	6.278139364
143	6.276487557
144	6.273718378
145	6.270457503
146	6.267457797
147	6.263096712
148	6.260506762
149	6.257039366
150	6.254669202
151	6.251256434
152	6.249261074
153	6.247981469
154	6.246786469
155	6.244871274
156	6.242722375
157	6.239543549
158	6.237826358
159	6.234607791
160	6.232254922
161	6.230704675
162	6.227142185
163	6.225432288
164	6.223877189
165	6.220046231
166	6.217629449
167	6.215129251
168	6.211092887
169	6.209074625
170	6.206149307
171	6.204347
172	6.202963373
173	6.201476698
174	6.198262843
175	6.194851826
176	6.192178056
177	6.191166532
178	6.188127588
179	6.18699433
180	6.185697486
181	6.18339855
182	6.181308779
183	6.178401318
184	6.174168153
185	6.170765436
186	6.169613115
187	6.166610368
188	6.16448371
189	6.16365485
190	6.16113085
191	6.158870826
192	6.15784467
193	6.156367331
194	6.15442069
195	6.151939366
196	6.149345159
197	6.148016413
198	6.142864526
199	6.14100245
200	6.139550968
201	6.136931782
202	6.13543695
203	6.1332781
204	6.130611399
205	6.127906382
206	6.12558993
207	6.121473065
208	6.118833197
209	6.116779885
210	6.114524128
211	6.1127145
212	6.110491401
213	6.107712976
214	6.103918962
215	6.100170612
216	6.097239445
217	6.09514537
218	6.090871091
219	6.088874915
220	6.086381997
221	6.084618927
222	6.082009189
223	6.078296235
224	6.075836997
225	6.073354373
226	6.072216202
227	6.069952131
228	6.06768273
229	6.064270145
230	6.061632193
231	6.058433873
232	6.055297155
233	6.051588142
234	6.048697226
235	6.045976028
236	6.045111326
237	6.042915812
238	6.039234357
239	6.037198834
240	6.034626967
241	6.032842492
242	6.031867228
243	6.029206552
244	6.026975967
245	6.02534975
246	6.022175223
247	6.02049926
248	6.017773727
249	6.015271869
250	6.012468214
251	6.00901036
252	6.0065697
253	6.003171365
254	6.002915378
255	6.001401505
256	5.998272619
257	5.995804212
258	5.992509247
259	5.990481883
260	5.987938678
261	5.985848846
262	5.983541347
263	5.981010486
264	5.977613491
265	5.974497739
266	5.971122201
267	5.967740412
268	5.964805986
269	5.961506477
270	5.95991296
271	5.95605567
272	5.953749277
273	5.950660933
274	5.947061041
275	5.945458441
276	5.943004875
277	5.939909949
278	5.936755019
279	5.934243163
280	5.932935906
281	5.93093628
282	5.928093068
283	5.92612785
284	5.923419865
285	5.922222794
286	5.921161621
287	5.919118916
288	5.916814932
289	5.914755153
290	5.912692138
291	5.910314039
292	5.908577109
293	5.906235236
294	5.903475034
295	5.900749397
296	5.898262063
297	5.897041642
298	5.896132937
299	5.892669
