iter	Passed	Remaining
0	4	1475
1	8	1206
2	10	1036
3	12	951
4	15	896
5	20	997
6	24	1005
7	26	977
8	29	947
9	31	920
10	35	919
11	37	911
12	40	895
13	43	886
14	45	872
15	49	875
16	53	894
17	56	886
18	59	874
19	61	865
20	64	856
21	69	872
22	71	861
23	73	850
24	76	846
25	80	844
26	84	851
27	86	842
28	89	832
29	91	826
30	94	816
31	96	809
32	99	805
33	102	799
34	104	794
35	107	785
36	109	777
37	111	769
38	115	771
39	117	764
40	120	759
41	122	752
42	124	746
43	127	739
44	130	738
45	132	734
46	135	729
47	137	723
48	140	717
49	142	711
50	144	707
51	148	708
52	152	708
53	154	704
54	156	699
55	159	694
56	162	692
57	164	687
58	167	682
59	169	678
60	172	674
61	174	669
62	178	669
63	180	666
64	182	661
65	185	656
66	187	652
67	189	647
68	193	647
69	195	642
70	197	638
71	200	634
72	202	629
73	204	625
74	216	648
75	219	647
76	222	645
77	226	645
78	229	641
79	231	637
80	234	633
81	236	629
82	240	627
83	242	624
84	245	620
85	247	616
86	250	613
87	252	609
88	256	606
89	258	603
90	261	599
91	263	596
92	267	596
93	272	596
94	274	593
95	277	589
96	279	585
97	282	582
98	284	578
99	288	577
100	291	573
101	297	576
102	299	573
103	302	570
104	305	567
105	307	563
106	310	560
107	313	556
108	315	552
109	318	550
110	321	547
111	324	544
112	326	540
113	328	536
114	330	532
115	333	529
116	336	526
117	340	525
118	343	522
119	346	519
120	349	516
121	352	513
122	354	510
123	357	506
124	359	502
125	361	499
126	364	495
127	366	493
128	369	489
129	371	486
130	373	482
131	376	478
132	378	475
133	382	473
134	384	470
135	386	466
136	389	463
137	391	459
138	393	455
139	398	455
140	401	452
141	403	449
142	406	445
143	408	442
144	411	439
145	414	437
146	416	433
147	418	430
148	421	427
149	424	424
150	427	422
151	431	419
152	433	416
153	435	413
154	438	409
155	441	407
156	444	404
157	447	401
158	449	398
159	452	395
160	457	394
161	461	393
162	464	390
163	467	387
164	469	384
165	472	381
166	476	379
167	478	376
168	481	373
169	484	370
170	486	367
171	488	363
172	492	361
173	494	358
174	497	355
175	500	352
176	502	349
177	505	346
178	508	343
179	510	340
180	513	337
181	515	334
182	517	331
183	520	328
184	523	325
185	525	321
186	528	319
187	532	317
188	534	314
189	538	311
190	541	308
191	543	305
192	545	302
193	548	299
194	550	296
195	553	293
196	556	290
197	558	287
198	560	284
199	563	281
200	565	278
201	568	275
202	571	272
203	573	269
204	575	266
205	577	263
206	580	260
207	582	257
208	588	256
209	592	253
210	594	250
211	597	247
212	600	245
213	603	242
214	606	239
215	608	236
216	610	233
217	612	230
218	616	227
219	619	225
220	621	222
221	623	219
222	626	216
223	628	213
224	632	210
225	635	208
226	637	205
227	640	202
228	644	199
229	650	197
230	653	195
231	656	192
232	658	189
233	661	186
234	664	183
235	666	180
236	669	177
237	671	174
238	674	172
239	676	169
240	680	166
241	682	163
242	684	160
243	687	157
244	690	154
245	692	152
246	695	149
247	698	146
248	700	143
249	704	140
250	707	138
251	711	135
252	713	132
253	716	129
254	719	126
255	721	124
256	725	121
257	727	118
258	730	115
259	733	112
260	735	109
261	738	107
262	741	104
263	744	101
264	746	98
265	748	95
266	751	92
267	753	89
268	756	87
269	759	84
270	761	81
271	764	78
272	766	75
273	768	72
274	772	70
275	777	67
276	780	64
277	782	61
278	784	59
279	787	56
280	790	53
281	793	50
282	795	47
283	797	44
284	800	42
285	803	39
286	806	36
287	808	33
288	810	30
289	812	28
290	815	25
291	818	22
292	821	19
293	823	16
294	826	14
295	828	11
296	831	8
297	835	5
298	838	2
299	840	0
